ensembl_gene_id	BE1	KAN	NBLW	CHLA122	CHLA15	BE2	KANR	NBLWR	CHLA136	CHLA20
ENSG00000169598	81	115	170	47	301	186	66	113	74	161
ENSG00000198912	133	145	299	174	367	248	160	184	220	330
ENSG00000236423	6	8	12	0	10	8	32	4	2	6
ENSG00000196581	122	43	616	127	74	8	393	907	94	20
ENSG00000131697	391	395	541	377	1043	562	289	397	352	585
ENSG00000069424	175	208	269	147	668	934	180	490	135	268
ENSG00000116254	433	185	992	893	974	780	538	410	1404	952
ENSG00000116251	2765	2402	4313	2120	5293	6433	2177	1969	1971	3881
ENSG00000226944	47	33	51	8	77	63	11	26	28	59
ENSG00000158286	260	326	315	219	624	844	182	340	289	526
ENSG00000116237	449	749	1411	481	1754	890	448	712	577	1232
ENSG00000225077	5	0	3	8	3	14	3	2	11	4
ENSG00000158292	83	20	20	373	463	160	85	60	248	72
ENSG00000097021	469	1019	1728	824	2026	1296	467	1019	868	1154
ENSG00000271746	4	3	5	1	1	4	4	3	4	2
ENSG00000069812	0	4	1	2	1	0	0	2	1	1
ENSG00000215788	126	66	38	34	343	181	29	157	40	129
ENSG00000171680	291	191	66	102	953	441	76	508	84	334
ENSG00000162408	558	550	1077	500	1291	1010	678	546	536	1002
ENSG00000204859	150	162	202	138	297	333	93	122	252	201
ENSG00000162413	132	124	280	62	351	446	105	176	76	241
ENSG00000116273	184	236	270	316	322	456	221	261	245	162
ENSG00000041988	106	96	174	73	236	166	64	139	107	131
ENSG00000007923	674	756	1455	509	1765	1369	768	723	683	1164
ENSG00000237436	8	12	8	5	7	6	13	4	7	6
ENSG00000171735	778	628	822	809	1414	809	690	672	483	729
ENSG00000237402	1	0	1	5	7	1	0	1	1	1
ENSG00000270171	76	42	7	44	2	24	53	38	20	6
ENSG00000270035	36	25	3	25	4	16	25	30	17	6
ENSG00000269978	26	12	2	12	8	9	31	22	24	1
ENSG00000049245	249	176	359	171	451	559	247	210	280	299
ENSG00000269925	8	7	10	5	11	12	7	6	18	7
ENSG00000049246	277	203	1036	498	324	466	513	603	413	326
ENSG00000049249	0	0	0	0	1	0	2	0	0	0
ENSG00000116288	870	1182	2444	562	2683	1864	866	1177	719	2063
ENSG00000116285	90	98	127	103	208	258	79	125	103	117
ENSG00000162426	11	14	29	49	41	39	15	33	38	9
ENSG00000142599	1001	1411	1431	1130	2520	2000	1342	972	1378	1930
ENSG00000221083	0	2	1	3	2	4	2	1	2	3
ENSG00000224315	16	22	13	11	24	24	17	3	11	27
ENSG00000228423	10	8	13	10	17	15	19	4	15	21
ENSG00000074800	4247	8580	24811	4187	16703	15380	5360	6520	6250	12490
ENSG00000274258	1	1	2	0	2	2	0	1	0	5
ENSG00000236269	7	17	24	6	26	37	14	18	11	28
ENSG00000230679	0	1	5	1	2	8	1	2	1	2
ENSG00000238249	11	8	21	8	4	2	4	3	5	7
ENSG00000180758	1	9	33	26	79	92	15	19	21	108
ENSG00000228526	0	6	4	2	8	0	0	2	5	0
ENSG00000234546	1	4	9	6	9	0	0	22	20	1
ENSG00000049239	438	398	335	311	677	835	392	552	218	397
ENSG00000171621	22	40	23	53	81	37	24	59	35	47
ENSG00000171612	97	139	279	82	209	242	153	148	163	164
ENSG00000231181	9	11	8	12	11	18	15	13	9	13
ENSG00000188807	301	358	602	295	764	674	309	447	343	376
ENSG00000171608	4	55	3	233	10	30	22	21	85	3
ENSG00000231789	1	0	0	22	3	12	4	3	8	4
ENSG00000171603	996	1214	1685	1240	2630	2267	995	1597	1545	1383
ENSG00000178585	265	303	202	357	288	287	197	270	323	183
ENSG00000162441	217	283	554	246	563	362	295	328	261	473
ENSG00000173614	38	26	40	25	87	66	33	18	34	59
ENSG00000202415	3	0	2	3	8	5	1	2	1	1
ENSG00000162444	0	0	1	4	2	2	5	1	0	1
ENSG00000130939	373	555	1066	605	1232	1401	590	561	608	982
ENSG00000233623	6	3	10	6	5	5	3	2	2	18
ENSG00000201746	2	3	8	4	4	4	3	3	2	3
ENSG00000054523	2614	3236	5538	2519	7090	4888	3154	4285	2833	4210
ENSG00000199562	6	4	7	5	6	5	1	3	7	4
ENSG00000142657	982	1472	3128	1236	3394	2298	1087	1211	1161	1921
ENSG00000271989	3	2	1	0	0	1	1	2	3	2
ENSG00000251503	0	2	7	0	6	0	0	5	1	4
ENSG00000175279	17	13	41	13	38	22	37	17	9	50
ENSG00000241563	7	1	10	2	9	5	1	6	1	7
ENSG00000160049	508	655	1207	637	1438	1644	651	698	630	1303
ENSG00000142655	93	144	250	124	268	294	100	128	144	172
ENSG00000130940	10	78	3	111	576	42	74	6	101	119
ENSG00000175262	5	0	0	8	7	4	2	0	0	1
ENSG00000120948	1095	1487	2055	1104	2327	1663	1818	1152	1161	1843
ENSG00000009724	2	4	8	1	12	2	8	16	0	8
ENSG00000271895	35	14	52	45	51	58	52	36	38	55
ENSG00000116649	309	525	1268	237	1749	1198	249	577	334	898
ENSG00000171824	761	826	1679	664	1955	1637	779	695	707	1439
ENSG00000226849	16	9	15	18	8	38	9	34	17	11
ENSG00000198793	800	1156	1606	944	2486	1276	1041	1352	1061	1788
ENSG00000120942	164	172	376	148	326	294	198	210	165	252
ENSG00000204624	182	176	150	692	389	423	232	237	182	229
ENSG00000116661	15	10	1	10	9	10	3	12	4	5
ENSG00000132879	127	97	55	97	173	243	50	162	88	89
ENSG00000116663	0	0	2	1	6	0	1	9	4	6
ENSG00000116670	173	309	273	177	270	136	193	190	135	253
ENSG00000162490	71	140	25	180	62	0	136	58	49	42
ENSG00000177674	20	26	65	24	77	70	25	31	28	69
ENSG00000177000	363	245	360	356	606	609	242	368	469	301
ENSG00000011021	464	607	602	581	705	668	400	596	775	448
ENSG00000242349	7	19	15	7	16	8	17	4	33	16
ENSG00000175206	15	0	7	0	5	10	11	25	1	4
ENSG00000201801	1	1	4	0	1	5	0	0	1	6
ENSG00000116685	155	220	468	145	555	416	179	238	204	371
ENSG00000083444	172	315	734	116	795	1164	117	289	158	696
ENSG00000116688	702	829	1826	658	1985	1295	742	1027	776	1470
ENSG00000116691	144	172	291	162	357	238	109	149	210	277
ENSG00000120949	0	1	0	1	2	2	3	2	0	4
ENSG00000028137	0	0	0	1	16	22	3	7	1	12
ENSG00000048707	615	632	717	599	1182	946	710	759	723	926
ENSG00000162496	1	0	1	1	2	2	0	18	1	0
ENSG00000116731	624	630	1228	582	1303	1328	657	581	618	969
ENSG00000189337	148	219	661	424	473	280	365	409	557	544
ENSG00000175147	77	200	79	58	161	220	100	134	55	97
ENSG00000171729	80	188	216	40	263	245	90	176	73	215
ENSG00000278480	1	4	5	0	3	0	6	8	1	2
ENSG00000142621	3	3	1	173	11	77	3	20	78	12
ENSG00000228140	0	2	0	0	2	0	7	2	4	2
ENSG00000142634	38	67	147	69	265	182	65	101	81	97
ENSG00000132906	46	36	55	96	42	91	35	84	88	34
ENSG00000116138	122	159	320	166	433	292	237	219	211	267
